gke	9.87881981032666E-5
ksi	1.3171759747102212E-4
ksk	9.87881981032666E-5
gki	3.292939936775553E-4
i-k	6.585879873551106E-5
kso	3.292939936775553E-5
ksp	6.585879873551106E-5
gko	4.280821917808219E-4
i-n	3.292939936775553E-5
i-s	3.292939936775553E-5
i-r	3.292939936775553E-5
gku	4.6101159114857746E-4
ksy	9.87881981032666E-5
i-t	3.292939936775553E-5
i-w	3.292939936775553E-5
teh	3.292939936775553E-5
kta	3.292939936775553E-5
tel	6.585879873551106E-5
tek	9.87881981032666E-5
ten	3.292939936775553E-4
gla	4.6101159114857746E-4
tem	3.292939936775553E-5
ter	5.927291886195996E-4
kti	6.585879873551106E-5
tet	3.292939936775553E-5
tes	9.87881981032666E-5
gli	9.87881981032666E-5
kto	2.3050579557428873E-4
ktu	6.585879873551106E-5
kua	6.585879873551106E-5
kub	1.6464699683877766E-4
gma	1.975763962065332E-4
kug	3.292939936775553E-5
kuh	2.3050579557428873E-4
kuk	3.622233930453109E-4
kum	0.0010866701791359325
gmi	3.292939936775553E-5
kul	7.903055848261328E-4
go-	6.585879873551106E-5
kun	3.951527924130664E-4
ti’	3.292939936775553E-5
kus	1.3171759747102212E-4
gmo	3.292939936775553E-5
pa’	3.292939936775553E-5
kur	4.280821917808219E-4
kut	4.280821917808219E-4
kuw	5.59799789251844E-4
kuy	3.292939936775553E-5
gmu	6.585879873551106E-5
tga	1.975763962065332E-4
cer	3.292939936775553E-5
tgh	3.292939936775553E-5
tgg	3.292939936775553E-5
tgi	3.292939936775553E-5
tgl	3.292939936775553E-5
ti-	9.87881981032666E-5
tgk	3.292939936775553E-5
gna	1.975763962065332E-4
gni	6.585879873551106E-5
gno	3.292939936775553E-5
tha	3.292939936775553E-5
kwa	6.585879873551106E-5
thi	3.292939936775553E-5
kwe	3.292939936775553E-5
gob	3.292939936775553E-5
kwi	6.585879873551106E-5
gon	4.93940990516333E-4
gos	3.292939936775553E-5
tib	2.3050579557428873E-4
tia	1.6464699683877766E-4
tid	6.585879873551106E-5
pab	3.951527924130664E-4
paa	5.268703898840885E-4
pad	2.3050579557428873E-4
tih	3.292939936775553E-5
pac	3.292939936775553E-5
tig	3.951527924130664E-4
tii	2.6343519494204424E-4
til	4.93940990516333E-4
pah	6.585879873551106E-4
pag	0.0012183877766069548
tik	1.975763962065332E-4
tin	0.004511327713382508
tim	2.963645943097998E-4
gpa	2.963645943097998E-4
pai	4.280821917808219E-4
pal	0.0017781875658587987
tip	2.963645943097998E-4
pak	5.927291886195996E-4
pan	0.003852739726027397
tir	3.292939936775553E-4
pam	0.001415964172813488
pap	0.0012513171759747101
tit	9.220231822971549E-4
tis	2.963645943097998E-4
pao	3.292939936775553E-5
par	7.573761854583772E-4
gpi	6.585879873551106E-5
pat	0.0015806111696522655
pas	0.0011854583772391992
tiw	1.975763962065332E-4
pau	2.3050579557428873E-4
tiy	4.6101159114857746E-4
paw	2.6343519494204424E-4
pay	3.951527924130664E-4
gpu	1.6464699683877766E-4
kya	1.6464699683877766E-4
_aa	0.0013501053740779768
_ab	4.6101159114857746E-4
pbu	6.585879873551106E-5
_ad	6.585879873551106E-5
_ag	2.6343519494204424E-4
_ah	1.6464699683877766E-4
cil	3.292939936775553E-5
_ak	5.268703898840885E-4
_am	2.6343519494204424E-4
ciq	3.292939936775553E-5
_al	0.0017452581664910431
cis	3.292939936775553E-5
_an	8.561643835616438E-4
_ap	2.3050579557428873E-4
_as	4.6101159114857746E-4
_ar	5.59799789251844E-4
civ	3.292939936775553E-5
_at	1.975763962065332E-4
_aw	1.975763962065332E-4
_ay	3.622233930453109E-4
gra	1.3171759747102212E-4
_ba	0.005927291886195995
grn	3.292939936775553E-5
_be	1.6464699683877766E-4
_bi	0.0041161749209694416
_bl	3.292939936775553E-5
tla	2.3050579557428873E-4
_bn	3.292939936775553E-5
_bo	3.292939936775553E-4
_br	9.87881981032666E-5
_bu	0.003589304531085353
gsa	3.951527924130664E-4
_bw	3.292939936775553E-5
tlo	6.585879873551106E-5
e-a	3.292939936775553E-5
_ca	1.3171759747102212E-4
gsi	2.6343519494204424E-4
tlu	1.975763962065332E-4
gu-	6.585879873551106E-5
to’	3.292939936775553E-5
e-h	3.292939936775553E-5
e-k	3.292939936775553E-5
gso	3.292939936775553E-5
_ci	3.292939936775553E-5
e-m	3.292939936775553E-5
_co	9.87881981032666E-5
_cr	3.292939936775553E-5
_cu	3.292939936775553E-5
gta	8.232349841938883E-4
pel	6.585879873551106E-5
pek	3.292939936775553E-5
pen	3.292939936775553E-5
per	3.951527924130664E-4
_da	0.00339172813487882
gti	1.3171759747102212E-4
pes	1.3171759747102212E-4
_de	3.292939936775553E-4
gto	1.975763962065332E-4
_di	0.0015806111696522655
tna	1.3171759747102212E-4
gtu	1.975763962065332E-4
_do	4.280821917808219E-4
tng	3.292939936775553E-5
_du	0.00154768177028451
gua	2.963645943097998E-4
_dy	9.87881981032666E-5
gub	9.87881981032666E-5
gug	2.3050579557428873E-4
gui	9.87881981032666E-5
tnu	3.292939936775553E-5
guh	1.3171759747102212E-4
gum	0.001053740779768177
_ed	6.585879873551106E-5
gul	6.256585879873551E-4
gun	7.244467860906218E-4
_ei	3.292939936775553E-5
gup	1.6464699683877766E-4
_ek	1.6464699683877766E-4
gus	4.6101159114857746E-4
_g-	3.951527924130664E-4
gur	2.3050579557428873E-4
la’	3.292939936775553E-5
_el	6.585879873551106E-5
gut	1.3171759747102212E-4
guw	6.585879873551106E-5
_en	9.87881981032666E-5
guy	1.3171759747102212E-4
